question,answer
"Какие дополнительные документы должен предоставить заявитель в случае подтверждения данных по услуге ""Ежемесячное пособие по временной нетрудоспособности""?"," случае необходимости подтверждения:
прекращения деятельности страхователем на день обращения заявителя за пособием
либо отсутствия возможности выплаты пособия страхователем в связи с недостаточностью денежных средств на его счетах в кредитных организациях и применением очередности списания денежных средств со счета, предусмотренной Гражданским кодексом РФ,
либо невозможности установления местонахождения страхователя и его имущества, на которое может быть обращено взыскание,
либо того, что на день обращения застрахованного лица за указанным пособием в отношении страхователя проводятся процедуры, применяемые в деле о банкротстве страхователя
территориальный орган ФСС направляет запросы в кредитные организации, налоговые органы, территориальные органы Федеральной службы судебных приставов и (или) арбитражному управляющему для получения:

а) документов, подтверждающих прекращение деятельности страхователем на день обращения заявителя за пособием (налоговые органы);б) документов, подтверждающих отсутствие возможности выплаты пособия страхователем в связи с недостаточностью денежных средств на его счетах в кредитных организациях и применением очередности списания денежных средств со счета, предусмотренной Гражданским кодексом РФ (налоговые органы, кредитные организации); в) документов (информации), подтверждающей отсутствие возможности установления местонахождения страхователя и его имущества, на которое может быть обращено взыскание в случае представления заявителем вступившего в законную силу решения суда об установлении факта невыплаты страхователем пособия застрахованному лицу с указанием суммы задолженности и периода невыплаты пособия (территориальные органы Федеральной службы судебных приставов); г) документов, подтверждающих, что в отношении страхователя проводятся процедуры, применяемые в деле о банкротстве, в случае отсутствия данной информации в Едином федеральном реестре сведений о банкротстве (налоговые органы); д) документов, подтверждающих нахождение требований застрахованного лица по выплате пособия в реестре требований кредиторов либо в требованиях кредиторов по текущим платежам в соответствии с Федеральным законом от 26.10.2002 № 127-ФЗ, а также о невыплате пособия с указанием периода и суммы невыплаты (арбитражный управляющий)."
"Какие основания для отказа в приеме документов по услуге ""Ежемесячное пособие по временной нетрудоспособности""?","Обращение за назначением и выплатой пособия по истечении шестимесячного срока со дня восстановления трудоспособности (установления инвалидности), а также окончания периода освобождения от работы в случаях ухода за больным членом семьи, карантина, протезирования и долечивания.

Перечень уважительных причин пропуска срока обращения за пособием по временной нетрудоспособности утвержден приказом Министерства здравоохранения и социального развития РФ от 31.01.2007 № 74 и включает следующие причины:
- непреодолимая сила, то есть чрезвычайные, непредотвратимые обстоятельства (землетрясение, ураган, наводнение, пожар и другое);
- длительная временная нетрудоспособность заявителя вследствие заболевания или травмы продолжительностью более шести месяцев;
- переезд на место жительства в другой населенный пункт, смена места пребывания;
- вынужденный прогул при незаконном увольнении или отстранении от работы;
- повреждение здоровья или смерть близкого родственника;
- иные причины, признанные уважительными в судебном порядке, при обращении заявителей в суд."
"Какие основания для предоставления услуги ""Ежемесячное пособие по временной нетрудоспособности""?",Отсутствует
"Какой результат по услуге ""Ежемесячное пособие по временной нетрудоспособности""?","1.  назначение и выплата пособия или отказ в назначении и выплате пособия 2. Уведомление об отказе в приеме документов выдается в МФЦ на бумажном носителе, подготовленном СПб РО ФСС РФ, с приложенными документами заявителя"
"Какой срок предоставления услуги ""Ежемесячное пособие по временной нетрудоспособности""?","Территориальный орган ФСС назначает и выплачивает пособие в течение 10 календарных дней со дня поступления в территориальный орган ФСС по месту регистрации страхователя документов, (информации), указанных в пунктах 12 и 16 административного регламента, независимо от способа подачи заявления о предоставлении государственной услуги."
"Что должно быть указано в листке нетрудоспособности по услуге ""Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем""?","В случае если в листке нетрудоспособности в строке ""Причина нетрудоспособности"" указан любой другой код кроме вышеуказанных, оформляется только услуга ""ФСС Пособие по временной нетрудоспособности"""
"При каких условиях назначается и выплачивается пособие по услуге ""Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем""?","прекращения деятельности страхователем на день обращения застрахованного лица за пособием;
 отсутствия возможности выплаты пособия по временной нетрудоспособности страхователем в связи с недостаточностью денежных средств на его счетах в кредитных организациях и применением очередности списания денежных средств со счета, предусмотренной Гражданским кодексом РФ;
 отсутствия возможности установления местонахождения страхователя и его имущества, на которое может быть обращено взыскание, при наличии вступившего в законную силу решения суда об установлении факта невыплаты таким страхователем пособия по временной нетрудоспособности застрахованному лицу;
в случае, если на день обращения застрахованного лица за пособием в отношении страхователя проводятся процедуры, применяемые в деле о банкротстве страхователя."
"Кем должен являться заявитель для получения услуги ""Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем""?","Заявителями на получение государственной услуги являются подлежащие обязательному социальному страхованию на случай временной нетрудоспособности и в связи с материнством граждане РФ, а также постоянно или временно проживающие на территории РФ иностранные граждане и лица без гражданств, а также иностранные граждане и лица без гражданства, временно пребывающие в РФ (за исключением высококвалифицированных специалистов в соответствии с Федеральным законом от 25.07.2002 № 115-ФЗ ""О правовом положении иностранных граждан в Российской Федерации"":
лица, работающие по трудовым договорам, в том числе руководители организаций, являющиеся единственными участниками (учредителями), членами организаций, собственниками их имущества;
 государственные гражданские служащие, муниципальные служащие;
лица, замещающие государственные должности РФ, государственные должности субъекта РФ, а также муниципальные должности, замещаемые на постоянной основе;члены производственного кооператива, принимающие личное трудовое участие в его деятельности;
священнослужители;
лица, осужденные к лишению свободы и привлеченные к оплачиваемому труду."
"В какой период должно быть подано заявление по услуге ""Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем""?","Пособие назначается, если обращение за ним последовало не позднее 6 месяцев со дня восстановления трудоспособности (установления инвалидности), а также окончания периода освобождения от работы в случаях ухода за больным членом семьи, карантина, протезирования и долечивания."
"Какой размер выплаты назначается по услуге ""Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем""?","Пособие по временной нетрудоспособности при утрате трудоспособности вследствие заболевания или травмы, при карантине, протезировании по медицинским показаниям и долечивании в санаторно-курортных организациях непосредственно после оказания медицинской помощи в стационарных условиях выплачивается в следующем размере:
1) застрахованному лицу, имеющему страховой стаж 8 и более лет - 100 процентов среднего заработка;
2) застрахованному лицу, имеющему страховой стаж от 5 до 8 лет - 80 процентов среднего заработка;
3) застрахованному лицу, имеющему страховой стаж до 5 лет - 60 процентов среднего заработка."
"Какие доументы предоставляются при обращении представителя по услуге ""Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем""?","1. нотариально удостоверенная доверенность или доверенность, приравненная к нотариальной; 2. доверенность, удостоверенная организацией, в которой доверитель работает или учится, администрацией стационарного лечебного учреждения, в котором он находится на излечении; 3.Доверенность в простой письменной форме 4. Документ, подтверждающий право законного представителя (опекуна, попечителя) выступать от имени заявителя."
"В каком виде предоставлять листок нетрудоспособности по услуге ""Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем""?","Листок нетрудоспособности установленной формы, выданный медицинской организацией, или в случае если листок нетрудоспособности сформирован в форме электронного документа, то представляется номер электронного листка нетрудоспособности."
"Какую информацию о доходах необходимо предоставить по услуге ""Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем""?","Справка о сумме заработной платы, иных выплат и вознаграждений за 2 календарных года, предшествующих году прекращения работы (службы, иной деятельности) или году обращения за справкой о сумме заработной платы, иных выплат и вознаграждений, и текущий календарный год, на которую были начислены страховые взносы, и о количестве календарных дней, приходящихся в указанном периоде на периоды временной нетрудоспособности, отпуска по беременности и родам, отпуска по уходу за ребенком, период освобождения работника от работы с полным или частичным сохранением заработной платы в соответствии с законодательством РФ, если на сохраняемую заработную плату за этот период страховые взносы в ФСС не начислялись, форма которой предусмотрена приложением №1 к приказу Министерства труда и социальной защиты РФ от 30.04.2013 № 182н. Документы, подтверждающие страховой стаж, определяемые Правилами подсчета и подтверждения страхового стажа для определения размеров пособий по временной нетрудоспособности, по беременности и родам, утвержденными приказом Министерства здравоохранения и социального развития Российской Федерации от 06.02.2007 № 91:

Трудовая книжка либо при отсутствии трудовой книжки - трудовые договоры, оформленные в соответствии с трудовым законодательством, действующим на день возникновения соответствующих правоотношений или ее копия, заверенная нотариально, для подтверждения наличия трудовых отношений с организацией, не выплачивающей пособие, а, следовательно, и права на обращение в региональное отделение ФСС, как застрахованного лица в порядке части 4 статьи 13 Федерального закона № 255-ФЗ."
"Что делать, если заявитель не может предоставить данные о заработке по услуге ""Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем""?","В случае если заявитель не имеет возможности представить справку (справки) о сумме заработка в связи с прекращением деятельности страхователем (страхователями) либо по иным причинам:

заявление застрахованного лица о направлении запроса в территориальный орган Пенсионного фонда РФ о представлении сведений о заработной плате, иных выплатах и вознаграждениях."
"Какие дополнительные документы подтверждающие стаж может предоставить заявитель по услуге ""Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем""?","окументы, подтверждающие страховой стаж, определяемые Правилами подсчета и подтверждения страхового стажа для определения размеров пособий по временной нетрудоспособности, по беременности и родам, утвержденными приказом Министерства здравоохранения и социального развития РФ от 06.02.2007 № 91:

Например, трудовая книжка, письменные трудовые договоры, справки, выдаваемые работодателями, выписки из приказов, лицевые счета, ведомости на выдачу заработной платы."
"Какие дополнительные документы должен предоставить заявитель по услуге ""Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем""?","При обращении заявителя за предоставлением государственной услуги в случае отсутствия возможности установления местонахождения страхователя и его имущества, на которое может быть обращено взыскание:

вступившее в законную силу решение суда об установлении факта невыплаты страхователем пособия застрахованному лицу с указанием суммы задолженности и периода невыплаты пособия."
"Какие дополнительные документы должен предоставить заявитель в случае подтверждения данных по услуге ""Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем""?"," случае необходимости подтверждения:
прекращения деятельности страхователем на день обращения заявителя за пособием
либо отсутствия возможности выплаты пособия страхователем в связи с недостаточностью денежных средств на его счетах в кредитных организациях и применением очередности списания денежных средств со счета, предусмотренной Гражданским кодексом РФ,
либо невозможности установления местонахождения страхователя и его имущества, на которое может быть обращено взыскание,
либо того, что на день обращения застрахованного лица за указанным пособием в отношении страхователя проводятся процедуры, применяемые в деле о банкротстве страхователя
территориальный орган ФСС направляет запросы в кредитные организации, налоговые органы, территориальные органы Федеральной службы судебных приставов и (или) арбитражному управляющему для получения:

а) документов, подтверждающих прекращение деятельности страхователем на день обращения заявителя за пособием (налоговые органы);б) документов, подтверждающих отсутствие возможности выплаты пособия страхователем в связи с недостаточностью денежных средств на его счетах в кредитных организациях и применением очередности списания денежных средств со счета, предусмотренной Гражданским кодексом РФ (налоговые органы, кредитные организации); в) документов (информации), подтверждающей отсутствие возможности установления местонахождения страхователя и его имущества, на которое может быть обращено взыскание в случае представления заявителем вступившего в законную силу решения суда об установлении факта невыплаты страхователем пособия застрахованному лицу с указанием суммы задолженности и периода невыплаты пособия (территориальные органы Федеральной службы судебных приставов); г) документов, подтверждающих, что в отношении страхователя проводятся процедуры, применяемые в деле о банкротстве, в случае отсутствия данной информации в Едином федеральном реестре сведений о банкротстве (налоговые органы); д) документов, подтверждающих нахождение требований застрахованного лица по выплате пособия в реестре требований кредиторов либо в требованиях кредиторов по текущим платежам в соответствии с Федеральным законом от 26.10.2002 № 127-ФЗ, а также о невыплате пособия с указанием периода и суммы невыплаты (арбитражный управляющий)."
"Какие основания для отказа в приеме документов по услуге ""Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем""?","Обращение за назначением и выплатой пособия по истечении шестимесячного срока со дня восстановления трудоспособности (установления инвалидности), а также окончания периода освобождения от работы в случаях ухода за больным членом семьи, карантина, протезирования и долечивания.

Перечень уважительных причин пропуска срока обращения за пособием по временной нетрудоспособности утвержден приказом Министерства здравоохранения и социального развития РФ от 31.01.2007 № 74 и включает следующие причины:
- непреодолимая сила, то есть чрезвычайные, непредотвратимые обстоятельства (землетрясение, ураган, наводнение, пожар и другое);
- длительная временная нетрудоспособность заявителя вследствие заболевания или травмы продолжительностью более шести месяцев;
- переезд на место жительства в другой населенный пункт, смена места пребывания;
- вынужденный прогул при незаконном увольнении или отстранении от работы;
- повреждение здоровья или смерть близкого родственника;
- иные причины, признанные уважительными в судебном порядке, при обращении заявителей в суд."
"Какие основания для предоставления услуги ""Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем""?",Отсутствует
"Какой результат по услуге ""Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем""?","1.  назначение и выплата пособия или отказ в назначении и выплате пособия 2. Уведомление об отказе в приеме документов выдается в МФЦ на бумажном носителе, подготовленном СПб РО ФСС РФ, с приложенными документами заявителя"
"Какой срок предоставления услуги ""Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем""?","Территориальный орган ФСС назначает и выплачивает пособие в течение 10 календарных дней со дня поступления в территориальный орган ФСС по месту регистрации страхователя документов, (информации), указанных в пунктах 12 и 16 административного регламента, независимо от способа подачи заявления о предоставлении государственной услуги."
Какие основания для получения услуги № 1134?,"Многодетным семьям, имеющим жилое помещение в многоквартирном доме на праве собственности (в случае наличия в собственности нескольких жилых помещений - в одном жилом помещении по выбору), предоставляется право на оплату части взноса на капитальный ремонт общего имущества в многоквартирном доме в пределах регионального стандарта нормативной площади жилого помещения в Санкт-Петербурге"
Размер части взноса по услуге № 1134?,"на оплату части взноса на капитальный ремонт 
30 процентов - семьям, имеющим в своем составе трех несовершеннолетних детей;
40 процентов - семьям, имеющим в своем составе от четырех до семи несовершеннолетних детей;
50 процентов - семьям, имеющим в своем составе восемь и более несовершеннолетних детей.
"
Когда начинает предоставляться выплата по услуге № 1134?,Дополнительная мера социальной поддержки предоставляется начиная с месяца подачи заявления и всех необходимых документов.
Кем явяется заявителем по услуге № 1134?,"Заявителем является один из законных представителей (родитель, усыновитель, опекун, попечитель) детей из многодетной семьи, имеющей жилое помещение в многоквартирном доме на праве собственности, являющийся гражданином РФ, имеющий место жительства или место пребывания в Санкт-Петербурге, в случае если дети также являются гражданами РФ, имеющими место жительства или место пребывания в Санкт-Петербурге.Мера дополнительной социальной поддержки предоставляется одному из супругов (законному представителю) на семью.
За предоставлением услуги обращается собственник жилого помещения. В случае, если собственником жилого помещения является несовершеннолетний, заявление оформляется от имени одного из законных представителей.
"
Количество помещений на которое можно оформить услугу № 1134?,"Мера социальной поддержки предоставляется многодетной семье на одно жилое помещение, находящееся в собственности, по выбору многодетной семьи.
В случае наличия в собственности нескольких жилых помещений дополнительная мера социальной поддержки предоставляется в отношении одного жилого помещения по выбору семьи: - если заявитель выбрал жилое помещение, в котором он зарегистрирован по месту жительства - заявление адресуется в ОСЗН по месту жительства заявителя; - если заявитель выбрал жилое помещение, в котором он зарегистрирован по месту пребывания - заявление адресуется в ОСЗН по месту пребывания заявителя; - если заявитель выбрал жилое помещение, в котором он не имеет регистрации по месту жительства/пребывания - заявление адресуется в ОСЗН по месту жительства заявителя."
Кому не предоставляется услуга № 1134?,"Мера дополнительной социальной поддержки не предоставляется многодетным семьям при наличии у них подтвержденной вступившим в законную силу судебным актом непогашенной задолженности по уплате взноса на капитальный ремонт общего имущества в многоквартирном доме, которая образовалась за период не более чем три последних года.
Мера социальной поддержки назначается и выплачивается гражданам, имеющим место пребывания в Санкт-Петербурга, в случае если аналогичная мера не выплачивается на территории другого субъекта РФ, в котором заявитель зарегистрирован по месту жительства."
Какие документы удостоверяют личность по услуге № 1134?,"Документы, удостоверяющие личность заявителя и лиц, совместно проживающих с ним:
- паспорт гражданина РФ;
- временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта."
Какие документы предоставить при обращении представителя по услуге № 1134?,"Документы, удостоверяющие личность представителя:
- паспорт гражданина РФ;
- временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено);
- паспорт иностранного гражданина;
- вид на жительство;
- удостоверение беженца.   Документ, оформленный в соответствии с действующим законодательством и подтверждающий наличие у представителя прав действовать от лица заявителя и определяющий условия и границы права представителя на получение государственной услуги:
- доверенность, удостоверенная нотариально либо удостоверенная в порядке, предусмотренном пунктом 2 статьи 185.1 Гражданского кодекса РФ. 
- доверенность, оформленная в простой письменной форме."
Какие заявления брать у заявителя по услуге № 1134?,Заявление о предоставлении денежной выплаты на оплату части взноса на капитальный ремонт.
Какие дополнительно документы должен предоставить заявитель по услуге № 1134?," 1. Документы, содержащие сведения о регистрации законных представителей и детей по месту жительства / по месту пребывания в Санкт-Петербурге:
- решение суда об установлении места жительства или места пребывания в Санкт-Петербурге (при наличии). 2.Документы, подтверждающие наличие в семье детей:
- документы об установлении над ребенком опеки или попечительства (в отношении детей, находящихся под опекой или попечительством, переданных на воспитание в применую семью), выданные за пределами Россйиской Федерации;
- свидетельство об усыновлении (в случае усыновления ребенка в возрасте до шести месяцев);
- свидетельство о рождении, выданное компетентными органами иностранного государства и его нотариально удостоверенный перевод на русский язык;
- документ, подтверждающий факт рождения и регистрации ребенка, выданный и удостоверенный штампом ""апостиль"" компетентным органом иностранного государства, с удостоверенным в установленном законодательством РФ порядке переводом на русский язык (при рождении ребенка на территории иностранного государства, являющегося участником Конвенции, отменяющей требование легализации иностранных официальных документов, заключенной в Гааге 05.10.1961 (далее-Конвенция));
-  документ, подтверждающий факт рождения и регистрации ребенка, выданный компетентным органом иностранного государства, переведенный на русский язык и легализованный консульским учреждением РФ за пределами территории РФ (при рождении ребенка на территории иностранного государства, не являющегося участником Конвенции);
- свидетельство о рождении ребенка, выданное консульским учреждением РФ за пределами территории РФ (при рождении ребенка на территории иностранного государства в случаях,когда регистрация рождения ребенка произведена компетентным органом иностранного государства);
- документ, подтверждающий факт рождения и регистрации ребенка, выданный компетентным органом иностранного государства, являющегося участником Конвенции о правовой помощи и правовых отношениях по гражданским, семейным и уголовным делам, заключенной в городе Минске 22.01.1993;
- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык. 3.Свидетельство об установлении отцовства, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык. 4.Свидетельство о заключении (расторжении) брака, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык. 5.Документы, подтверждающие право собственности на жилое помещение (в случае если права на недвижимое имущество не зарегистрированы в Едином государственном реестре недвижимости).  6. Решение суда о признании лиц, проживающих совместно с собственником жилого помещения по месту жительства, членами его семьи (в случае наличия разногласий между собственником жилого помещения и проживающими совместно с ним по месту жительства лицами по вопросу принадлежности к одной семье). 7. Согласие на обработку персональных данных лица, не являющегося заявителем (в случае если собственником жилого помещения является супруг (супруга) заявителя)."
